,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses,ID
0,1.055963834002911,7151.40771484375,233.01303100585938,-444.5653076171875,eta_4,0,0.9968826686856692,6068.67138671875,9971.16796875,-201.8699188232422,eta_3_bot,6,0.23690542764054334,5997.998823377558,10040.301780224743,0.0,bot,325,0.23690542764054334,5997.998823377558,10040.301780224743,0.0,bot,221,0.9982937311981827,6172.142578125,9971.16796875,-201.8699188232422,eta_y_bot_stresses,10
0,0.9997934509904134,9382.828125,262.9024963378906,-310.7090759277344,eta_4,118,4.183587132814683,9180.609375,70.44451141357422,-310.7090759277344,eta_3_bot,0,0.47751751040667156,9281.71836832045,166.67335060479104,0.0,bot,18,0.8697420280211029,9631.971891653298,4884.034243479786,0.0,bot,7,2.3766225484451375,9180.609375,70.44451141357422,-310.7090759277344,eta_y_bot_stresses,11
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,12
0,1.028748032598792,7631.48193359375,143.57081604003906,-749.2947998046875,eta_4,0,6.250022326901394,7631.48193359375,143.57081604003906,-904.7752075195312,eta_3_bot,0,1.4320183916067037,7362.897192929343,0.0,-827.0351809607873,bot,0,2.1807904220671612,8495.650607226173,6994.313497309792,0.0,bot,0,3.398200300129687,7631.48193359375,143.57081604003906,-904.7752075195312,eta_y_bot_stresses,13
0,0.9996632602595295,9022.9453125,9335.0888671875,-983.6419067382812,eta_4,36,2.368376499184779,9022.9453125,290.0461730957031,-781.8660888671875,eta_3_bot,0,0.18377803875760723,8843.2429541411,0.0,-882.7538544010206,bot,20,0.8234306332220674,8843.242954141098,9307.505538050484,0.0,bot,1,1.5011136361954813,9022.9453125,290.0461730957031,-781.8660888671875,eta_y_bot_stresses,14
0,11.289574485431773,12682.361328125,1309.4044189453125,-4250.6396484375,eta_4,0,73.82591367421409,13208.4853515625,1309.4044189453125,-4250.6396484375,eta_3_bot,0,8.176810711460858,12945.423514170423,1758.9678295146496,-4089.1132340525282,bot,0,31.552616670258494,11122.87941693731,0.0,-1817.029748809889,top,0,37.16572868476937,13208.4853515625,1309.4044189453125,-4250.6396484375,eta_y_bot_stresses,15
0,2.5358921307320115,3662.203857421875,5404.16015625,-1026.5760498046875,eta_4,0,41.41981900148665,183.76979064941406,5763.54052734375,-876.6182861328125,eta_3_bot,0,3.978785071654257,3043.6295401325888,324.53888736004285,0.0,bot,0,6.957921120837607,3043.6295401325883,4927.09038082974,0.0,bot,0,20.99077754962744,183.76979064941406,5763.54052734375,-876.6182861328125,eta_y_bot_stresses,16
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,17
0,2.594053206254387,5532.12353515625,2293.75048828125,-2572.9296875,eta_1,0,29.50517138139739,3431.82861328125,375.3594970703125,-5231.23095703125,eta_3_bot,0,4.468856736530263,5296.8808541917915,2669.109741446231,-5019.920733727677,bot,0,12.946061577973822,3667.071360594317,0.0,-2047.5510699204801,top,0,15.015744972561793,3431.82861328125,375.3594970703125,-5231.23095703125,eta_y_bot_stresses,18
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,19
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,20
0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,21
