,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsu_fac,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
412,412,12189.69016852594,10121.74473728113,832.7691782167619,1113.3481700754692,4963.935812320271,17.396484809422258,11.78557706729038,15.44910282641178,448.1405111924263,22.036311167503044,22.333042129656445,180.14999662334503,31.480329975669108,448.6476680054323,0.695406565967029,-48.061960199583766,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,10121.74473728113,0.33,0.33,-0.002,484.5394814458669,1.4869773763253489,352.9311218261719,9634.962890625,-785.8526000976562,eta_4_x,0.0,2.501330269981202,1317.1568603515625,4053.113037109375,-785.8526000976562,eta_3_top,0.0
413,413,4031.573012800688,19894.628056027144,269.8741812353473,410.0303432894334,4880.47492294911,27.75395665880845,29.565440913271885,28.52354463540873,459.59423422187655,10.503064894378072,14.477792671113551,319.7404640312732,46.39626819927303,303.91296612507705,0.2192438148425963,46.761543030775485,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,19894.628056027144,0.33,0.33,-0.002,328.22600341508326,2.194318367832855,2034.25390625,157.7039794921875,-2534.77978515625,eta_1_x,0.0,3.146496187545788,3801.503173828125,157.7039794921875,-2534.77978515625,eta_3_top,0.0
414,414,9619.058098938558,3515.608540972953,338.68368834078524,512.3368365896149,4883.491693727435,17.385648136092392,21.04576176288317,11.07308690138475,211.2747518099758,28.248099826266863,18.30272789191612,339.0053403241171,30.85760911508769,362.5878473503136,0.4044914075496158,-40.74715658294578,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3515.608540972953,0.33,0.33,-0.002,391.5948751383388,2.4808442182183423,3389.309814453125,8895.0283203125,-294.9825744628906,eta_4_x,0.0,4.151910118920021,3389.309814453125,8316.6748046875,-294.9825744628906,eta_3_bot,0.0
415,415,8933.193271301569,6804.588268923134,379.14873662900544,614.4990087480563,2814.2113292251765,22.46608138648416,12.35170354912529,12.817029669631184,207.00937789152687,19.432941879453324,15.535383190195605,413.97678179749386,45.69784351220795,382.25816490315896,0.6654022052552039,-3.292208089324564,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,6804.588268923134,0.33,0.33,-0.002,412.8388180954117,1.7500410751870636,6641.6171875,8125.31982421875,-331.7551574707031,eta_4_x,0.0,2.832710467662129,6641.6171875,4431.505859375,-331.7551574707031,eta_3_top,0.0
416,416,9397.490683530845,9000.761565746052,420.1611644262002,586.682685229363,3132.055425410505,10.965478289099226,16.345609361633166,18.7292857296904,144.03217070544272,11.624954468186772,15.99820980622174,174.3373388564027,40.00961880535681,347.0753342068127,0.6395821572104773,47.928606982064565,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9000.761565746052,0.33,0.33,-0.002,374.84136094335776,2.011010499328625,8785.1923828125,4693.6630859375,-377.0677185058594,eta_1_x,0.0,4.613347992684915,8785.1923828125,4117.14501953125,-377.0677185058594,eta_3_top,0.0
417,417,7461.546555696937,13605.767165571742,306.7534167416917,817.2948445768193,4287.251439785214,23.86327128886521,14.242258119805944,17.71508619280093,469.7561884674263,10.339916535044214,28.74435854842583,259.3242321235002,36.52453796186744,378.5204553021561,0.2601292164288823,-43.138786855485776,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,13605.767165571742,0.33,0.33,-0.002,408.80209172632857,1.7505572291391516,189.7657165527344,154.45057678222656,-259.5605773925781,eta_4_x,0.0,0.2534049623854492,189.7657165527344,3539.502197265625,-259.5605773925781,eta_3_top,147.0
418,418,16034.146566359244,15244.910977333608,553.6973655871741,974.1729866734972,4880.177197902844,21.64749834123606,28.084703402548328,16.20728122373684,266.7781563290802,18.153087502747,19.484805738047445,109.26940721649662,47.96305463822366,358.96937111637084,0.73561088692061,-1.8427153913230736,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,15244.910977333608,0.33,0.33,-0.002,387.6869208056805,1.8450795306249856,14971.072265625,7800.50341796875,-506.5741882324219,eta_1_x,0.0,0.3242441577854295,10335.4794921875,8539.568359375,-506.5741882324219,eta_3_top,192.0
419,419,5700.409948117547,4231.429531394137,369.3295407917589,560.9592425315965,4835.161028054748,18.538431358987115,27.683604220173677,11.666605471344296,346.8747299247012,11.66267646619286,18.141763887037595,271.48716340106995,33.94173403493427,450.3512437267596,0.2282007423969814,-9.872081237492704,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,4231.429531394137,0.33,0.33,-0.002,486.3793432249004,2.4645160481601494,147.5440673828125,1880.65478515625,-323.1633605957031,eta_1_x,0.0,5.112573577390647,147.5440673828125,4960.24560546875,-323.1633605957031,eta_3_bot,0.0
420,420,7838.572303001682,3424.0150604193186,286.82730469355505,1091.8868333485457,3034.399035845596,11.210173825812609,18.106095741493224,28.40426248396895,480.4623483661147,16.39095761793698,26.85656669805691,403.6362935163281,31.993078815093615,327.2712031484444,0.3143968540145841,-32.31681233905301,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,3424.0150604193186,0.33,0.33,-0.002,353.4528994003199,2.0145001908369244,119.39051818847656,3152.614990234375,-242.7000274658203,eta_1_x,0.0,0.1545643690105401,119.39051818847656,3594.071044921875,-242.7000274658203,eta_3_top,120.0
421,421,16102.54860793354,16172.947824107328,869.2888159264841,1140.4450278872223,4517.101511983778,11.560716306884451,27.482018856299405,17.735927858544958,196.9619653237722,21.368992677454266,11.73080756844325,457.2411926368715,28.490420804275853,407.1945128284148,0.8179884096147599,14.736965528154714,90,0,0,30,30,12,12,12,1.08,0.045,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,16172.947824107328,0.33,0.33,-0.002,439.770073854688,1.636504722967713,15785.603515625,14437.4990234375,-2044.922119140625,eta_4_x,0.0,1.60513786155702,15785.603515625,14437.4990234375,-5071.3798828125,eta_3_top,0.0
