,ID,t_p,L,b1,t_w,h_w,alpha_l,h_v,l_v,oo,uu,d4_plate,d3_plate,d2_plate,d1_plate,s_plate,d4_walls,d3_walls,d2_walls,d1_walls,s_walls,fcc,fsy,fsu_fac,esu,s,beta,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,ecu,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
21,21,628.5714285714286,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,5.854496301354337,225.94854736328125,1975.9962158203125,-573.1092529296875,eta_1_x,0,5.350023327587257,225.94854736328125,5247.05859375,-1300.0489501953125,eta_3_bot,0
22,22,648.9795918367347,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,6.072007964939648,225.94854736328125,1975.9962158203125,-591.7166748046875,eta_1_x,0,5.5238485646927415,225.94854736328125,5247.05859375,-1320.4580078125,eta_3_bot,0
23,23,669.3877551020407,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,6.290019359578272,225.94854736328125,1975.9962158203125,-610.3241577148438,eta_1_x,0,5.701314924383993,225.94854736328125,5247.05859375,-1340.865966796875,eta_3_bot,0
24,24,689.795918367347,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.669630919805836,225.94854736328125,1975.9962158203125,-628.9315795898438,eta_1_x,0,5.51055334620315,843.25146484375,1975.9962158203125,-628.9315795898438,eta_3_top,0
25,25,710.204081632653,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,4.900737209803028,225.94854736328125,2506.003662109375,-647.5390014648438,eta_1_x,0,5.873418385956612,843.25146484375,1975.9962158203125,-647.5390014648438,eta_3_top,0
26,26,730.6122448979592,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.009426927202018,225.94854736328125,1975.9962158203125,-687.6350708007812,eta_1_x,0,6.315282662606672,225.94854736328125,5247.05859375,-1402.0899658203125,eta_3_bot,0
27,27,751.0204081632653,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.229329438953076,225.94854736328125,1975.9962158203125,-706.8427124023438,eta_1_x,0,6.510180214187697,225.94854736328125,5247.05859375,-1422.498046875,eta_3_bot,0
28,28,771.4285714285714,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.450401754903693,225.94854736328125,1975.9962158203125,-726.0504150390625,eta_1_x,0,6.707148343789258,225.94854736328125,5247.05859375,-1442.906982421875,eta_3_bot,0
29,29,791.8367346938776,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.67261897551192,225.94854736328125,1975.9962158203125,-745.2581176757812,eta_1_x,0,6.905569510432393,225.94854736328125,5247.05859375,-1463.3150634765625,eta_3_bot,0
30,30,812.2448979591836,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,7.895912202715749,225.94854736328125,1975.9962158203125,-764.4657592773438,eta_1_x,0,7.105656260847401,225.94854736328125,5247.05859375,-1483.7230224609375,eta_3_bot,0
31,31,832.6530612244898,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.12015635276913,225.94854736328125,1975.9962158203125,-783.6734619140625,eta_1_x,0,7.3068802197354685,225.94854736328125,5247.05859375,-1504.1309814453125,eta_3_bot,0
32,32,853.0612244897959,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.316474962011714,225.94854736328125,1975.9962158203125,-802.8811645507812,eta_1_x,0,7.476821810377347,225.94854736328125,5247.05859375,-1524.5390625,eta_3_bot,0
33,33,873.469387755102,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.541179275196825,225.94854736328125,1975.9962158203125,-822.0888061523438,eta_1_x,0,7.678954324065291,225.94854736328125,5247.05859375,-1544.947021484375,eta_3_bot,0
34,34,893.8775510204082,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.766718517833844,225.94854736328125,1975.9962158203125,-841.2965087890625,eta_1_x,0,7.882097596297497,225.94854736328125,5247.05859375,-1565.35595703125,eta_3_bot,0
35,35,914.2857142857142,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,8.992879116506161,225.94854736328125,1975.9962158203125,-860.5042114257812,eta_1_x,0,8.085674531943305,225.94854736328125,5247.05859375,-1585.7640380859375,eta_3_bot,0
36,36,934.6938775510204,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.219606811023922,225.94854736328125,1975.9962158203125,-879.7119140625,eta_1_x,0,8.289338816578104,225.94854736328125,5247.05859375,-1606.1719970703125,eta_3_bot,0
37,37,955.1020408163264,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.446629685022051,225.94854736328125,1975.9962158203125,-898.9195556640625,eta_1_x,0,8.493074264911533,225.94854736328125,5247.05859375,-1626.5799560546875,eta_3_bot,0
38,38,975.5102040816328,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.669769020291264,225.94854736328125,1975.9962158203125,-918.1272583007812,eta_1_x,0,8.697164102510882,225.94854736328125,5247.05859375,-1646.988037109375,eta_3_bot,0
39,39,995.9183673469388,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.89861693728687,225.94854736328125,1975.9962158203125,-937.3349609375,eta_1_x,0,8.901197796107782,225.94854736328125,5247.05859375,-1667.39599609375,eta_3_bot,0
40,40,1016.3265306122448,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,10.12897691707302,225.94854736328125,1975.9962158203125,-956.5426025390624,eta_1_x,0,9.10449022064712,225.94854736328125,5247.05859375,-1687.8050537109375,eta_3_bot,0
41,41,1036.7346938775509,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.355799768969687,225.94854736328125,2506.003662109375,-975.7503051757812,eta_1_x,0,10.55775818862396,225.94854736328125,5247.05859375,-1708.2130126953125,eta_3_bot,0
42,42,1057.142857142857,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.639468241038186,225.94854736328125,2506.003662109375,-994.9580078125,eta_1_x,0,10.61020765270142,225.94854736328125,5247.05859375,-1728.6209716796875,eta_3_bot,0
43,43,1077.5510204081634,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,9.922864559587758,225.94854736328125,2506.003662109375,-1014.1656494140624,eta_1_x,0,10.667413339956536,225.94854736328125,5247.05859375,-1749.029052734375,eta_3_bot,0
44,44,1097.9591836734694,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,10.205768152654638,225.94854736328125,2506.003662109375,-1033.373291015625,eta_1_x,0,10.736577767271656,225.94854736328125,5247.05859375,-1769.43701171875,eta_3_bot,0
45,45,1118.3673469387754,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,10.490301134802356,225.94854736328125,2506.003662109375,-1052.5810546875,eta_1_x,0,10.822671296575184,225.94854736328125,5247.05859375,-1789.844970703125,eta_3_bot,0
46,46,1138.7755102040817,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,10.775508638165316,225.94854736328125,2506.003662109375,-1071.7886962890625,eta_1_x,0,10.917589166974611,225.94854736328125,5247.05859375,-1810.2540283203125,eta_3_bot,0
47,47,1159.1836734693877,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,11.058441028090376,225.94854736328125,2506.003662109375,-1090.996337890625,eta_1_x,0,11.023825847892184,225.94854736328125,5247.05859375,-1830.6619873046875,eta_3_bot,0
48,48,1179.591836734694,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,11.339748250961748,225.94854736328125,2506.003662109375,-1110.2041015625,eta_1_x,0,11.140646092034402,225.94854736328125,5247.05859375,-1851.070068359375,eta_3_bot,0
49,49,1200.0,5800,9720,400,2580,90,0,0,30,30,24,12,12,24,200,24,12,12,14,200,12.8,390,1.08,0.045,0.18179012,5,1000,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,3,9720,0.33,0.33,-0.002,421.2000000000001,11.618052133715178,225.94854736328125,2506.003662109375,-1129.4117431640625,eta_1_x,0,11.26827642610905,225.94854736328125,5247.05859375,-1871.47802734375,eta_3_bot,0
