,ID,t_p,L,b1,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,fsu_fac,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
10,10,726.3157894736842,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.871321542797891,75.3161849975586,7447.05859375,-950.1420288085938,eta_4_x,0.0,2.126261958953178,75.3161849975586,152.94117736816406,-950.1420288085938,eta_3_bot,0.0
11,11,778.9473684210526,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.012419211792595,75.3161849975586,7447.05859375,-1002.7730102539062,eta_4_x,0.0,2.213268488968325,75.3161849975586,152.94117736816406,-1002.7730102539062,eta_3_bot,0.0
12,12,831.578947368421,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.2078067595331903,75.3161849975586,7447.05859375,-1055.405029296875,eta_4_x,0.0,2.3344287908191843,75.3161849975586,152.94117736816406,-1055.405029296875,eta_3_bot,0.0
13,13,884.2105263157895,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.385164037539184,75.3161849975586,7447.05859375,-1108.0369873046875,eta_4_x,0.0,2.446254320259704,75.3161849975586,152.94117736816406,-1108.0369873046875,eta_3_bot,0.0
14,14,936.8421052631578,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.5791282146388306,75.3161849975586,7447.05859375,-1160.66796875,eta_4_x,0.0,2.549313443590743,75.3161849975586,7447.05859375,-1160.66796875,eta_3_bot,0.0
15,15,989.4736842105262,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.794198820504404,75.3161849975586,7447.05859375,-1213.300048828125,eta_4_x,0.0,2.6612084912405223,75.3161849975586,7447.05859375,-1213.300048828125,eta_3_bot,0.0
16,16,1042.1052631578946,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.799451191302405,75.3161849975586,3693.43798828125,-980.804931640625,eta_1_x,0.0,4.392648262659866,788.1162109375,3324.295166015625,-980.804931640625,eta_3_top,0.0
17,17,1094.7368421052631,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,2.987427219087759,75.3161849975586,3906.56201171875,-1030.340576171875,eta_1_x,0.0,4.827299226762212,993.8837890625,3693.43798828125,-1030.340576171875,eta_3_top,0.0
18,18,1147.3684210526317,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.15181331102003,75.3161849975586,3693.43798828125,-1079.876220703125,eta_1_x,0.0,5.218233608095066,1144.5162353515625,3324.295166015625,-1079.876220703125,eta_3_top,0.0
19,19,1200.0,8000,9720,400,2580,24,24,12,200,14,24,200,12.8,390,1.08,0.18179012,5,-0.002,421.2000000000001,9720,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,1,30,30,12,12,12,3.2952267247768003,75.3161849975586,3906.56201171875,-1129.4117431640625,eta_1_x,0.0,5.5863548128089455,1144.5162353515625,3324.295166015625,-1129.4117431640625,eta_3_top,0.0
