,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c
1680,1305,4111.378084935161,6721.733032687139,318.516311419086,1078.9620665186194,3641.6590229545054,13.336450521639026,13.546718657205853,10.045425240782327,132.56568761788202,21.89398434533217,18.885283543599705,301.4660477363485,40.25236199497446,360.51705623100986,0.426267038925055,-12.867133300413675,-0.002,389.35842072949066,6721.733032687139,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,6.45700323165445,2801.311279296875,2637.80322265625,-278.7017822265625,eta_4_x,0.0,15.70722818819789,2801.311279296875,2637.80322265625,-278.7017822265625,eta_3_bot,0.0
1681,1306,13347.806817103625,3322.026439278747,1150.500785080146,351.75593033589155,2649.2449770135854,22.44224242053174,23.50645872008446,19.893504644279176,358.1959361185933,16.508959964867195,29.105474965614288,212.8328229564923,27.10603219909806,327.48877068044305,0.8088799746090076,-11.972550159264898,-0.002,353.68787233487853,3322.026439278747,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1682,1306,13347.806817103625,3322.026439278747,1150.500785080146,351.75593033589155,2649.2449770135854,22.44224242053174,23.50645872008446,19.893504644279176,358.1959361185933,16.508959964867195,29.105474965614288,212.8328229564923,27.10603219909806,327.48877068044305,0.8088799746090076,-11.972550159264898,-0.002,353.68787233487853,3322.026439278747,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1683,1307,10817.445471581745,18797.91477961261,342.91728702052467,203.19539044228205,2496.760455223437,15.593303758715791,23.72566884174495,21.16621983058606,402.91545524773454,24.211348346208595,29.221373438817658,428.7638572595529,27.234374717399767,330.61666967000536,0.823664733555228,14.563835459010193,-0.002,357.0660032436058,18797.91477961261,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1684,1308,11463.55948847893,10953.659004360608,1101.028597242046,1112.296942621618,3225.3915836672268,23.65260967418712,19.87257698818547,19.350847904798997,127.54102753199176,14.62132073600637,14.880826485949276,480.3343315187116,37.75196395544484,372.5833310680048,0.6307386272729743,-35.12334284481629,-0.002,402.3899975534452,10953.659004360608,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.749016030497083,381.9388427734375,507.7877197265625,-1940.478271484375,eta_4_x,0.0,13.451272333475869,381.9388427734375,9843.4755859375,-1940.478271484375,eta_3_bot,0.0
1685,1309,9857.533656183376,10245.044112183092,1035.719167321943,1152.4519911057378,3568.486185043369,17.291667906685475,14.353295631487311,14.658683544884086,259.4427951613352,10.529253540898749,20.786718231005,420.2592105395728,32.98518893499115,305.64583706197834,0.8374036265200364,27.50810068409622,-0.002,330.09750402693663,10245.044112183092,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,7.42567837171118,9876.98828125,5206.94091796875,-988.0999145507812,eta_1_x,0.0,25.817336720068734,9876.98828125,3498.14111328125,-988.0999145507812,eta_3_top,0.0
1686,1309,9857.533656183376,10245.044112183092,1035.719167321943,1152.4519911057378,3568.486185043369,17.291667906685475,14.353295631487311,14.658683544884086,259.4427951613352,10.529253540898749,20.786718231005,420.2592105395728,32.98518893499115,305.64583706197834,0.8374036265200364,27.50810068409622,-0.002,330.09750402693663,10245.044112183092,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,7.42567837171118,9876.98828125,5206.94091796875,-988.0999145507812,eta_1_x,0.0,25.817336720068734,9876.98828125,3498.14111328125,-988.0999145507812,eta_3_top,0.0
1687,1310,13803.60588502429,12054.79987670097,354.7044424928357,686.6576948998286,3996.4153552274543,11.42258509910694,24.141542583746272,14.887253279731029,178.29546608663802,25.60410578058868,23.553254297980946,288.32030692049364,42.19225764761352,425.575094089964,0.6238030781281648,-10.903430967809475,-0.002,459.6211016171611,12054.79987670097,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1688,1310,13803.60588502429,12054.79987670097,354.7044424928357,686.6576948998286,3996.4153552274543,11.42258509910694,24.141542583746272,14.887253279731029,178.29546608663802,25.60410578058868,23.553254297980946,288.32030692049364,42.19225764761352,425.575094089964,0.6238030781281648,-10.903430967809475,-0.002,459.6211016171611,12054.79987670097,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
1689,1311,12347.01092565676,3585.3735577454136,798.8815232635277,602.0926092228632,3629.772668823387,16.254057103950352,16.265193821333135,11.551105750050128,426.9988671892279,22.9370010382946,24.12529540288328,221.8025268567288,43.39695075133511,382.7668719199769,0.1782369892921809,-2.295366230976768,-0.002,413.3882216735751,3585.3735577454136,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,
