,Unnamed: 0,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,fsy,s,beta,ecu,fsu,b2,alpha_l,l_sec,b_sec1_b1,b_sec2_b1,b_sec1_b2,b_sec2_b2,h_S1_3,h_S7_9,h_v,l_v,left_p,right_p,h_b,b_b,esu,h_G,gamma_E,phi_k,q_Gl,b_Bs,Q_k,withMPCs,offsetmodeling,mesh_size_factor,oo,uu,d3_plate,d2_walls,d3_walls,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_tot,vol_plate_conc,vol_plate_steel,w_plate_steel,vol_walls_conc,vol_walls_steel,w_walls_steel,GWP,AP,ADP-minerals-metals,ADP-fossil,ODP,POCP
2140,2140,1655,14258.044575381218,5686.668081794585,941.8187230159416,213.36666096189765,3937.6982168871673,18.68627753948173,11.11613912407134,21.46291820177694,147.700272231653,24.27298890755465,10.381323356372333,256.75502730455526,46.76989314089039,398.9958021281708,0.4234405019972114,49.15408731266061,-0.002,430.91546629842446,5686.668081794585,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,76.36338443297247,0.46451994129452434,3646.481539162016,9.5555758834013,0.23833808141711998,1870.9539391243918,25930.244436721026,42.44273532312972,0.07840806141844725,175246.22027317467,0.0002135654364087135,6.506186934601054
2141,2141,1656,16750.16257426868,14420.247749298109,615.3651845874224,513.6968340672943,4476.684262484501,12.667777555368785,22.38896508872883,13.329385675009496,400.13184638936144,21.837858044081383,26.60987057131927,199.6174424865149,46.58954070578661,392.6624636378808,0.7981950322610558,-36.05973050007971,-0.002,424.07546072891125,14420.247749298109,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,148.63622614050578,0.4662442784942571,3660.017586179918,66.32329156229149,1.1493512894898807,9022.407622495564,64593.538614647754,105.10606077297925,0.19795649760525003,427380.65319321636,0.0004922496787461956,15.398171528413323
2142,2142,1657,6553.573662536519,3663.338284006551,921.2673984720332,217.0584303024501,2095.247575130444,19.17640586824966,17.310801862792395,21.01894568676805,104.19843581650808,15.588729187749522,13.391603757733735,249.00741353744235,49.4905650408881,384.1281217927123,0.159593137330777,28.311931791662616,-0.002,414.8583715361293,3663.338284006551,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.08248703375333,127.73552703857422,6273.68212890625,-1193.924560546875,eta_4_x,0.0,5.175124686361108,3531.73193359375,6273.68212890625,-994.3253784179688,eta_3_bot,0.0,2.08248703375333,22.117748359817252,0.22677875425261385,1780.2132208830187,3.332107660233791,0.0640665973933664,502.92278953792623,8199.593243820362,13.604338655827537,0.02346297616623487,58310.69074220785,8.776842007578297e-05,2.507273498401135
2143,2143,1657,6553.573662536519,3663.338284006551,921.2673984720332,217.0584303024501,2095.247575130444,19.17640586824966,17.310801862792395,21.01894568676805,104.19843581650808,15.588729187749522,13.391603757733735,249.00741353744235,49.4905650408881,384.1281217927123,0.159593137330777,28.311931791662616,-0.002,414.8583715361293,3663.338284006551,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,2.08248703375333,127.73552703857422,6273.68212890625,-1193.924560546875,eta_4_x,0.0,5.175124686361108,3531.73193359375,6273.68212890625,-994.3253784179688,eta_3_bot,0.0,2.08248703375333,22.117748359817252,0.22677875425261385,1780.2132208830187,3.332107660233791,0.0640665973933664,502.92278953792623,8199.593243820362,13.604338655827537,0.02346297616623487,58310.69074220785,8.776842007578297e-05,2.507273498401135
2144,2144,1658,16576.79500361585,19843.47192786745,633.123205408307,1009.1609363273094,4737.497791880535,13.401985901080836,19.75993247713573,16.386287983290053,169.31302102492617,18.83254531203801,29.05645560139326,262.1881297587704,47.03955396599531,361.9291446524775,0.4662365384713515,33.377787493895795,-0.002,390.8834762246757,19843.47192786745,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,208.2602856038354,1.4992879410456168,11769.410337208092,189.7392188976722,1.242828835772586,9756.2063608148,119105.46643864838,192.7198227069861,0.36963720028036057,772000.9901839334,0.0008380407307396997,26.975893815266733
2145,2145,1659,7464.865157173905,19849.95112275704,1112.2867834113972,398.0667147293052,3452.336203973983,27.4759368613398,15.509793640653756,15.143256652515626,304.8680394451642,27.10550927223254,24.79906284027198,358.3554124379726,37.43163263782988,325.0412601775609,0.5459444282569528,-15.468514807716424,-0.002,351.0445609917658,19849.95112275704,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,6.756164835466933,10056.439453125,3302.197998046875,-1046.858154296875,eta_1_x,0.0,17.217611263991373,8964.69140625,6914.59619140625,-1353.0433349609375,eta_3_bot,0.0,6.756164835466933,164.81555062610315,0.5225153824463755,4101.745752204048,54.55799285492886,0.5924899746241519,4651.046300799592,50172.11221569605,83.70212846982169,0.1409161843035666,315184.4648792037,0.00034136214207729123,10.388218714206342
2146,2146,1660,3736.4680868568735,6753.13958797112,858.6957073636668,837.705620697853,3090.0926803592874,28.611558922362864,14.920948592287512,18.46418657521765,305.91843447463737,20.735056481273013,17.117290611700597,114.11208389856849,34.7290664458161,306.6225739982229,0.3216592061879822,37.15636302286124,-0.002,331.1523799180807,6753.13958797112,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,24.16952708992095,470.945068359375,2144.322509765625,-809.6273803710938,eta_4_x,0.0,74.60091495755256,470.945068359375,370.9839172363281,-3733.293701171875,eta_3_bot,0.0,24.16952708992095,21.667374805281423,0.09886842604469664,776.1171444508686,34.96219229152939,0.3077023443164826,2415.4634028843884,13185.071210072869,22.505330644382777,0.034890113226760215,90558.75427674774,0.00012308083218853566,3.412630578479898
2147,2147,1661,8403.224986934896,18242.75341659173,848.3031397129514,952.7373224628608,4464.804071900833,23.14394429926856,27.6699223586466,16.508360989567905,297.49170358900847,13.351566260634677,21.22071180663638,219.4034280105539,30.92017707301491,310.4072219173503,0.4360269504155972,29.89103099597888,-0.002,335.2397996707383,18242.75341659173,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.898385410460849,10457.580078125,4456.505859375,-800.5114135742188,eta_1_x,0.0,24.81447517355505,10457.580078125,2993.98193359375,-800.5114135742188,eta_3_top,0.0,9.898385410460849,130.04314191699154,0.6952198535745875,5457.475850560511,155.20151908010203,0.6826348910813121,5358.6838949883,65095.740469324126,108.29097633488819,0.1841296137377157,404252.01955162734,0.00042267774399147833,13.064527191509056
2148,2148,1661,8403.224986934896,18242.75341659173,848.3031397129514,952.7373224628608,4464.804071900833,23.14394429926856,27.6699223586466,16.508360989567905,297.49170358900847,13.351566260634677,21.22071180663638,219.4034280105539,30.92017707301491,310.4072219173503,0.4360269504155972,29.89103099597888,-0.002,335.2397996707383,18242.75341659173,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,9.898385410460849,10457.580078125,4456.505859375,-800.5114135742188,eta_1_x,0.0,24.81447517355505,10457.580078125,2993.98193359375,-800.5114135742188,eta_3_top,0.0,9.898385410460849,130.04314191699154,0.6952198535745875,5457.475850560511,155.20151908010203,0.6826348910813121,5358.6838949883,65095.740469324126,108.29097633488819,0.1841296137377157,404252.01955162734,0.00042267774399147833,13.064527191509056
2149,2149,1662,16967.036114843315,13605.007081952232,692.455868203733,336.69295241012605,4185.3801766261095,19.10087456846615,20.375029144808856,10.89798192241875,197.85174420907984,16.633244546613994,23.735259335341027,380.033791565472,36.94573882253008,365.6891552215181,0.6473504234616946,-39.59665240054788,-0.002,394.9442876392396,13605.007081952232,90,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0,False,False,0,0,0.045,1000,2e-05,30,6.5,2500,225000,True,True,3,30,30,12,12,12,0.0,,,,,,0.0,,,,,,0.0,159.844190466907,0.9555105051058814,7500.757465081169,38.34402567434662,0.4724944366786237,3709.081327927196,46154.2577634539,78.80129860288629,0.12204194038759511,317327.5187726415,0.0004322562859367943,11.97478738073405
