,ID,L,b1,t_p,t_w,h_w,d1_plate,d4_plate,d2_plate,s_plate,d1_walls,d4_walls,s_walls,fcc,s,beta,h_G,alpha_l,h_v,l_v,oo,uu,d3_plate,d3_walls,d2_walls,fsy,fsu_fac,esu,ecu,gamma_E,phi_k,q_Gl,b_Bs,Q_k,l_sec,b_sec1_b1,b_sec2_b1,h_S1_3,h_S7_9,mesh_size_factor,b2,b_sec1_b2,b_sec2_b2,fsu,eta_min_s,x_s,y_s,z_s,Location_s,GP_count_s,eta_min_c,x_c,y_c,z_c,Location_c,GP_count_c,eta_min_shear,x_c_shear,y_c_shear,z_c_shear,Location_c_shear,element_count_shear,eta_min_shear_reduced,x_c_shear_reduced,y_c_shear_reduced,z_c_shear_reduced,Location_c_shear_reduced,element_count_shear_reduced,eta_min_c_stresses,x_c_stresses,y_c_stresses,z_c_stresses,Location_c_stresses
562,562,3469.8941229019856,10567.520898091178,253.98830681067352,665.163636980837,2004.6859667304343,27.749373528884146,24.545394809695157,28.22377754420744,416.3928497077389,9.945089769534812,19.064072311833595,330.60714693571066,39.216797809114894,0.2293224914023384,14.635094542667757,1086.776251552388,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,10567.520898091178,0.33,0.33,421.2000000000001,2.1284740785176117,2438.276611328125,2755.83154296875,-207.80860900878903,eta_4,0.0,8.576878438796543,2438.276611328125,2755.83154296875,-207.80860900878903,eta_3_bot,0.0,1.5838654563400918,2117.2782942246968,115.69513254424736,0.0,bot,0.0,1.6849569512005376,1868.1867301982616,2689.035353376901,0.0,bot,0.0,4.554050729212314,2438.276611328125,2755.83154296875,-207.80860900878903,eta_y_bot_stresses
563,563,13970.11419321188,18831.62101946267,823.7608278295055,542.9741399001917,3742.861695390172,23.439780501065982,25.16229939260694,19.11362036367998,92.43070630067012,15.1129057983896,14.3082343419484,232.1467513373898,27.517847721509234,0.4269318663333433,36.54732244375772,1383.8560080054283,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,18831.62101946267,0.33,0.33,421.2000000000001,0.99941985038979,17651.740234375,13202.8681640625,-910.7666015625,eta_4,236.0,1.6103229785090545,17651.740234375,13202.8681640625,-1148.4703369140625,eta_3_bot,0.0,0.1413800772500055,18031.277126135534,13427.140053311688,-1029.618221075965,bot,72.0,1.4627597865291682,16964.151935032623,10719.33347589383,0.0,top,0.0,1.1693246710307423,17877.25,13202.8681640625,-1148.4703369140625,eta_y_bot_stresses
564,564,13285.180074352127,9698.83772024992,810.7185027791563,902.780465180442,3936.514411560261,28.41748260177814,14.660205225583503,28.623270477602617,456.8302734485891,29.150976592313743,26.05192374533722,397.6526548477973,38.40121117888615,0.1766521318512056,42.10508697284702,283.30833932265926,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9698.83772024992,0.33,0.33,421.2000000000001,0.9825185650285408,9559.46484375,12238.4814453125,-763.0291748046875,eta_4,325.0,0.2458238697195686,9559.46484375,5637.810546875,-763.0291748046875,eta_3_top,275.0,0.0050169666269567,9369.077237761425,12041.883619919465,0.0,bot,107.0,0.1625473195741437,400.0770559603093,6542.03446017904,0.0,top,28.0,0.7641614979493627,9559.46484375,6042.919921875,-763.0291748046875,eta_y_top_stresses
565,565,9129.11456862328,6119.05914627899,698.1533070007192,349.8801788716676,4936.520867338156,25.544645199180096,12.479021108712857,10.376163377179672,467.1988268159777,27.487642945889004,23.8144792598484,299.2338727647448,48.13774268424304,0.637112961535799,-46.00272147182634,791.5721705901401,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,6119.05914627899,0.33,0.33,421.2000000000001,0.996319159480508,71.12096405029297,8711.20703125,-636.5515747070312,eta_4,156.0,2.6826481442819734,938.5240478515624,4153.69921875,-636.5515747070312,eta_3_top,0.0,0.0634517378769533,168.27412652267225,8618.281759272835,0.0,bot,47.0,0.0634517378769533,168.27412652267225,8618.281759272835,0.0,bot,17.0,1.6486526587697412,938.5240478515624,4153.69921875,-636.5515747070312,eta_y_top_stresses
566,566,6770.099866087781,14123.99439609173,314.98131744195126,860.6329543749827,2753.141525463624,13.82047978435494,27.080341056062117,29.753538102603336,185.9011265228121,21.59401574487642,10.322314138671054,253.68239418191075,43.70185802213494,0.2696489018701222,30.66628846766335,399.8634326548254,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,14123.99439609173,0.33,0.33,421.2000000000001,1.068609612765069,5348.03857421875,3037.59228515625,-268.3174133300781,eta_1,0.0,4.1158654125719325,5348.03857421875,2871.874755859375,-268.3174133300781,eta_3_top,0.0,0.1563684602017077,4816.282089067279,0.0,-466.4041013424506,bot,63.0,0.1563684602017077,4816.282089067279,0.0,-466.4041013424506,bot,60.0,2.346108281402408,5348.03857421875,2871.874755859375,-268.3174133300781,eta_y_top_stresses
567,567,18291.832450319485,8067.097559648689,1127.6636727196471,420.5264410435718,3746.691357288356,30.31637790838977,24.67150675518822,28.273026419835844,97.20624939298348,15.648490623568543,22.08596267387805,449.6447988361313,29.26336822648451,0.8631419851955711,2.6521957190362837,751.9027995562797,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,8067.097559648689,0.33,0.33,421.2000000000001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
568,568,11692.987601003166,3564.0298805486577,1162.911299058089,399.74104785383406,3444.4010173309307,13.841611681931136,27.21348063580745,12.44416632262375,281.7342314253774,12.522373056562168,13.040298684987585,132.9695678228681,33.91226673489683,0.3974883681046406,23.485332530021424,645.7620020036509,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,3564.0298805486577,0.33,0.33,421.2000000000001,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,
569,569,6594.451650741392,19337.1760880154,1023.1165666636282,320.72841199645376,4418.273861949991,28.71074764361848,17.283644819693773,17.981958450888257,177.56298896081952,10.288054583098443,23.126452303009444,214.853821958764,31.471887828342936,0.4044374527734476,9.457878569329038,1113.7022786429466,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,19337.1760880154,0.33,0.33,421.2000000000001,1.0307891143785572,9001.201171875,6153.44970703125,-3018.541015625,eta_1,0.0,2.564992819533092,9001.201171875,6153.44970703125,-5211.40771484375,eta_3_bot,0.0,0.0946381981352859,7817.053433580225,147.88061919898786,0.0,bot,146.0,0.0993764280194399,8774.243649936987,6125.842619545951,0.0,bot,61.0,1.5930630775186612,9001.201171875,6153.44970703125,-5211.40771484375,eta_y_bot_stresses
570,570,5859.77112490362,9604.39313083264,239.2486129760669,565.4403472883681,3841.6803675609767,17.487728340545036,20.45755990832881,16.277731765522862,422.5521161542778,23.70462050509921,28.931935352669637,467.8572329176159,33.30408136221906,0.7103336963832247,0.5034793354656503,890.002395158772,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,9604.39313083264,0.33,0.33,421.2000000000001,0.9867700846749488,9555.1015625,172.2395477294922,-191.39889526367188,eta_4,991.0,0.1653707569756765,7455.85546875,2599.614990234375,-191.39889526367188,eta_3_top,1024.0,0.0228716027102937,9487.7683571011,5185.1352053269375,0.0,bot,149.0,0.0228716027102937,9487.7683571011,5185.1352053269375,0.0,bot,74.0,0.6635333836012749,7455.85546875,2599.614990234375,-191.39889526367188,eta_y_top_stresses
571,571,14295.694513228676,13248.997615170216,820.4922194529545,785.8267024700124,2468.785167693252,27.363165857762613,23.39500694936825,11.341922266450284,192.2520985418104,18.46413898857079,21.51221233480263,324.99918404444946,40.13141205123252,0.2565869592834979,-1.6591608137214098,954.7416748396606,90,0,0,30,30,12,12,12,390,1.08,0.045,-0.002,2e-05,30,6.5,2500,225000,0.33,0.33,0.33,0.33,0.33,1,13248.997615170216,0.33,0.33,421.2000000000001,1.0640951067830111,153.9913787841797,345.2874755859375,-2968.010986328125,eta_1,0.0,3.1958533921786567,882.6864013671875,13164.580078125,-1141.7587890625,eta_3_bot,0.0,0.203701349195662,364.3474344171808,13509.867810758664,-1024.166995787648,bot,59.0,0.6753646309281232,2550.4320409202664,13138.3464459628,0.0,bot,8.0,1.8994176213435687,882.6864013671875,13164.580078125,-1141.7587890625,eta_y_bot_stresses
